rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
75,2017,1,11,191.0,2020,22,89.4,4028400.0,3,5
75,2011,1,13,202.99999999999997,2020,31,111.1,3709887.0,14,2
75,2014,1,24,183.0,2020,29,79.4,1845301.0,30,5
75,2015,2,31,200.99999999999997,2020,25,97.5,2907143.0,5,4
75,2012,2,32,200.99999999999997,2020,29,89.8,10000000.0,4,5
75,2012,2,43,200.99999999999997,2020,32,107.5,4767000.0,23,2
75,2014,1,9,208.0,2020,25,112.0,2000000.0,7,2
75,2018,0,0,193.0,2020,24,90.7,3551100.0,9,6
74,2016,1,15,206.0,2020,25,99.8,3321029.0,18,2
74,2014,1,30,206.0,2020,27,104.3,9073050.0,15,2
74,2017,2,38,202.99999999999997,2020,25,101.6,1870564.0,5,3
74,2014,0,0,206.0,2020,28,94.8,3000000.0,22,0
74,2017,2,45,200.99999999999997,2020,24,102.1,1618520.0,15,6
74,2013,1,25,198.0,2020,29,90.7,4000000.0,20,5
74,2017,1,10,211.0,2020,23,105.2,4240200.0,25,0
74,2015,2,41,196.0,2020,27,97.5,1723050.0,17,5
74,2015,0,0,185.0,2020,27,81.6,3000000.0,14,5
74,2014,0,0,200.99999999999997,2020,30,97.5,2000000.0,7,5
74,2013,0,0,188.0,2020,30,81.6,7461380.0,6,5
74,2016,2,33,202.99999999999997,2020,24,99.3,1678854.0,24,3
74,2016,0,0,183.0,2020,27,80.7,3150000.0,26,5
74,2017,1,1,191.0,2020,22,88.5,9745200.0,22,5
74,2017,1,20,211.0,2020,22,105.2,2578800.0,26,3
74,2012,1,15,200.99999999999997,2020,27,94.3,11011234.0,20,2
74,2017,1,15,200.99999999999997,2020,25,91.2,3280920.0,6,4
74,2014,0,0,191.0,2020,28,84.4,19428485.0,2,5
74,2016,0,0,198.0,2020,23,88.5,1645357.0,16,2
74,2011,1,29,191.0,2020,29,83.9,12000000.0,26,5
74,2014,0,0,208.0,2020,28,95.7,8000000.0,6,3
74,2017,1,18,208.0,2020,23,100.7,2813280.0,12,3
74,2014,1,11,200.99999999999997,2020,28,98.9,7333333.0,12,2
74,2011,2,55,191.0,2020,31,86.6,8664928.0,19,5
74,2007,1,9,211.0,2020,35,103.0,6813026.0,13,0
74,2012,2,49,206.0,2020,30,108.9,2174318.0,23,3
74,2011,2,38,206.0,2020,32,90.7,25102512.0,9,2
